state,suburb,count,home_care_places,residential_places,restorative_care_places,total,hcp_perc,rp_perc,rcp_perc,total_perc
NSW,GRAFTON,8,0,361,21,382,0,0.0016630809842122479,0.004298874104401228,0.0017126895951865351
NSW,GRASMERE,8,0,398,0,398,0,0.0018335352679126722,0,0.00178442528503728
NSW,GREENACRE,2,0,289,0,289,0,0.001331386161876287,0,0.0012957258979290802
NSW,GREENFIELD PARK,2,0,0,0,0,0,0,0,0
NSW,GREENHILL,1,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,GREENWICH,1,0,56,0,56,0,2.579848618168584e-4,0,2.5107491447760725e-4
NSW,GRENFELL,1,6,36,0,42,0.005509641873278237,1.658474111679804e-4,0,1.8830618585820544e-4
NSW,GREYSTANES,3,0,255,0,255,0,0.0011747524957731945,0,0.0011432875569962473
NSW,GRIFFITH,8,0,175,0,175,0,8.062026931776825e-4,0,7.846091077425227e-4
NSW,GUILDFORD,3,0,92,0,92,0,4.238322729848388e-4,0,4.1248021664178335e-4
NSW,GULARGAMBONE,1,2,12,0,14,0.0018365472910927456,5.52824703893268e-5,0,6.276872861940181e-5
NSW,GULGONG,3,0,31,0,31,0,1.428130485057609e-4,0,1.389878990858183e-4
NSW,GUNDAGAI,2,0,37,0,37,0,1.704542837004243e-4,0,1.6588878277984766e-4
NSW,GUNNEDAH,6,0,120,0,120,0,5.528247038932679e-4,0,5.38017673880587e-4
NSW,GUYRA,2,0,49,0,49,0,2.257367540897511e-4,0,2.1969055016790636e-4
NSW,GWYNNEVILLE,1,0,0,0,0,0,0,0,0
NSW,GYMEA BAY,1,0,59,0,59,0,2.718054794141901e-4,0,2.6452535632462193e-4
NSW,HABERFIELD,2,0,136,0,136,0,6.265346644123704e-4,0,6.097533637313319e-4
NSW,HAMILTON,2,0,71,0,71,0,3.2708794980351686e-4,0,3.1832712371268065e-4
NSW,HAMILTON NORTH,2,0,0,0,0,0,0,0,0
NSW,HAMLYN TERRACE,3,0,270,0,270,0,0.001243855583759853,0,0.0012105397662313206
NSW,HAMMONDVILLE,9,0,287,9,296,0,0.0013221724168113993,0.001842374616171955,0.0013271102622387813
NSW,HARDEN,1,0,45,0,45,0,2.073092639599755e-4,0,2.0175662770522012e-4
NSW,HARRIS PARK,1,0,50,0,50,0,2.3034362662219498e-4,0,2.2417403078357792e-4
NSW,HAWKS NEST,1,0,64,0,64,0,2.948398420764096e-4,0,2.8694275940297973e-4
NSW,HAY,1,0,24,0,24,0,1.105649407786536e-4,0,1.076035347761174e-4
NSW,HAYMARKET,1,0,0,0,0,0,0,0,0
NSW,HEATHCOTE,2,0,190,0,190,0,8.753057811643409e-4,0,8.518613169775961e-4
NSW,HEBERSHAM,1,0,0,0,0,0,0,0,0
NSW,HENTY,2,0,32,0,32,0,1.474199210382048e-4,0,1.4347137970148986e-4
NSW,HILLSTON,3,0,28,0,28,0,1.289924309084292e-4,0,1.2553745723880362e-4
NSW,HOLBROOK,2,0,42,0,42,0,1.934886463626438e-4,0,1.8830618585820544e-4
NSW,HORNSBY,5,0,159,0,159,0,7.3249273265858e-4,0,7.128734178917778e-4
NSW,HORSLEY,4,0,90,0,90,0,4.14618527919951e-4,0,4.0351325541044023e-4
NSW,HOWLONG,1,0,21,0,21,0,9.67443231813219e-5,0,9.415309292910272e-5
NSW,HUNTERS HILL,6,0,470,0,470,0,0.002165230090248633,0,0.002107235889365632
NSW,HURSTVILLE,7,0,233,0,233,0,0.0010734013000594286,0,0.001044650983451473
NSW,ILLAWONG,1,0,125,0,125,0,5.758590665554874e-4,0,5.604350769589447e-4
NSW,INVERELL,4,0,138,0,138,0,6.357484094772582e-4,0,6.18720324962675e-4
NSW,ISLINGTON,1,0,0,0,0,0,0,0,0
NSW,JAMBEROO,1,0,0,0,0,0,0,0,0
