lga_new,ages60andUp,ages65andUp,ages70andUp,ages75andUp,ages80andUp,ages85andUp
WICKEPIN,193,133,99,63,32,11
WILLIAMS,289,188,128,80,48,22
WILLOUGHBY,14791,11028,7729,4985,3205,1829
WILUNA,83,47,15,6,2,0
WINGECARRIBEE,16198,12864,9340,5683,3055,1451
WINTON,328,226,161,95,43,23
WODONGA,8519,6273,4190,2624,1472,795
WOLLONDILLY,10008,7137,4645,2659,1449,652
WOLLONGONG,48796,36982,26729,17635,10820,5440
WONGAN-BALLIDU,339,241,153,76,36,23
WOODANILLING,99,68,42,28,13,7
WOOLLAHRA,13803,10785,7956,5016,3068,1717
WOORABINDA,86,53,30,21,12,3
WUDINNA,352,246,149,104,66,42
WUJAL WUJAL,37,19,11,5,5,4
WYALKATCHEM,194,152,116,82,54,28
WYNDHAM,28473,19250,12078,6790,3551,1588
WYNDHAM-EAST KIMBERLEY,909,487,241,123,36,18
YALGOO,66,36,26,16,8,3
YANKALILLA,2208,1630,1056,599,287,146
YARRA,14664,10443,7158,4380,2524,1220
YARRA RANGES,34539,25035,16672,9778,5339,2667
YARRABAH,193,113,71,40,8,2
YARRIAMBIACK,2355,1804,1330,876,538,308
YASS VALLEY,3918,2822,1877,1100,596,288
YILGARN,273,198,114,71,31,14
YORK,1316,968,655,395,196,79
YORKE PENINSULA,4842,3772,2652,1575,904,471
